age,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
18,.1383698,.0702702,.0393979,.2323191,.0308723,.1270362,.3593553,0,.0546401
19,.2452546,.0530442,-.0725374,.2104262,.1255815,.0084152,.2188414,.0106405,.148138
20,.3256356,.0723627,-.09245,.258443,.1648127,-.0785084,.1799346,.0035652,.1421088
21,.317756,.0593734,-.038868,.1255778,.0982415,-.0216505,.1039273,.0022008,.1108444
22,.4226758,.0357998,-.0703341,.1901053,.1061339,-.0037972,.1863081,.024969,.1351755
23,.4908529,.0762766,-.1635007,.3076804,.2397773,-.0766885,.2309918,.0480162,.1337953
24,.5936219,.136437,-.2709953,.4457514,.4074323,-.1409389,.3048125,.0539245,.2218677
25,.603386,.0886336,-.335826,.5681213,.4244595,-.174476,.3936453,.0437988,.3646674
26,.6666424,.0800823,-.3923456,.6494805,.4724279,-.2694902,.3799902,.0922766,.3324094
27,.7011258,.1220457,-.5144521,.9109647,.6364978,-.3749815,.5359833,.0842477,.3906468
28,.7795694,.1642046,-.5807083,1.152781,.7449127,-.3831745,.7696061,.1398063,.4145196
29,.8215092,.1794637,-.6247147,1.110352,.8041784,-.3270666,.7832851,.1638726,.4796337
30,.9244955,.191844,-.5983916,1.264016,.7902356,-.1295203,1.134495,.2294742,.540189
31,1.011736,.2677757,-.9842635,1.696169,1.252039,-.6290235,1.067145,.2527124,.5489345
32,1.001593,.4400137,-.7955061,1.727955,1.23552,-.2675561,1.460399,.4137602,.5734643
33,1.056441,.2650735,-.7610487,1.540538,1.026122,-.2401493,1.300389,.3169913,.5780639
34,.9130843,.1586637,-.8794839,1.556564,1.038148,-.5436021,1.012962,.2964403,.5635051
35,.9613454,.2568155,-1.004454,1.754472,1.26127,-.5304445,1.224027,.3042321,.566321
36,.8930681,.3260287,-.7385696,1.643767,1.064598,-.2444887,1.399279,.3909388,.598547
37,1.099343,.3051577,-.8945922,1.986299,1.19975,-.2222431,1.764056,.5139884,.6434751
38,1.073314,.3254083,-.9743872,2.049176,1.299796,-.2660585,1.783117,.5049332,.6360376
39,1.102103,.2818744,-.9275538,1.972064,1.209428,-.1950594,1.777005,.5829185,.6423823
40,1.156608,.5850528,-.8428831,2.398898,1.427936,-.0354281,2.36347,.6985644,.6769879
41,1.182854,.6224887,-.576647,2.355136,1.199136,.3402916,2.695427,.7061502,.7194352
42,1.190441,.562995,-.6226403,2.4249,1.185635,.4215105,2.846411,.8267989,.7297367
43,1.058047,.3535534,-.8860031,2.204744,1.239557,-.0138,2.190944,.7114711,.7269745
44,1.096186,.453609,-.8039913,2.255205,1.2576,.2047288,2.459934,.7522387,.7665513
45,1.173903,.4440306,-.9040447,2.69715,1.348075,-.0338916,2.663259,.6861629,.6831782
46,1.225447,.5514504,-.8748789,2.670557,1.426329,.2845114,2.955069,.8856578,.763711
47,1.097368,.5461898,-.6021855,2.349541,1.148375,.3416658,2.691207,.7976386,.723029
48,1.10743,.707978,-.3943949,2.497741,1.102373,.7984445,3.296186,.9027719,.7779986
49,1.103094,.5512388,-.6429945,2.394621,1.194233,.5509386,2.94556,.9966606,.7329575
50,1.115585,.4763511,-.7470794,2.416073,1.22343,.1976587,2.613732,.7024748,.7339249
51,1.131913,.5769862,-.5477861,2.578907,1.124772,.7810851,3.359992,1.104558,.8084067
52,1.174923,.6362478,-.4676549,2.568149,1.103903,.8858375,3.453987,1.100477,.7866577
53,1.11835,.6414064,-.4295492,2.471246,1.070956,1.11464,3.585886,1.340044,.7023033
54,1.08763,.799061,-.1635577,2.516069,.9626186,1.710061,4.22613,1.590431,.8140756
55,.9745361,.6877246,-.250044,2.529927,.9377686,1.177032,3.706959,1.231858,.7711221
56,.8925994,.5075931,-.438032,2.639149,.9456251,.713465,3.352615,.9575487,.8136747
57,.9772428,.5087148,-.3415524,2.43567,.8502672,1.159988,3.595658,1.309535,.7913046
58,.9266338,.8621886,-.0628977,2.843906,.9250863,1.489527,4.333433,1.226038,.7961868
59,.9574971,1.063684,.2220359,2.845947,.8416483,1.620811,4.466759,1.081399,.8227143
60,,.5938622,1.139513,2.373668,.5773256,1.327631,3.7013,1.122976,.7726974
61,,1.054755,1.4539,2.630721,.7241282,1.707457,4.338178,1.123274,.7810877
62,,.793463,1.259299,2.332593,.5598611,1.470631,3.803225,1.025697,.7323972
63,,.7782605,1.186985,2.452535,.7171063,1.415433,3.867968,1.125831,.8110213
64,,.8295697,1.32845,1.873278,.4403316,1.545508,3.418786,.9392115,.7796049
65,,.4555697,.834681,2.136398,.4877517,1.032897,3.169295,.8668631,.7571508
66,,.7421511,1.011521,2.416886,.426279,1.205482,3.622368,.6956488,.7524897
67,,1.017881,1.516499,2.419406,.422718,1.909868,4.329275,.9213359,.7977278
68,,1.019709,1.381881,1.75065,.1998993,1.738878,3.489527,.5620714,.7697001
69,,.6757519,.823094,2.190711,.4248986,1.101296,3.292007,.5722407,.7972974
70,,1.12444,1.170805,2.523369,.4422205,1.632328,4.155697,.488585,.8642941
71,,1.017301,1.57616,2.1929,.2371532,1.854742,4.047642,.7960124,.862642
72,,1.039514,1.154988,2.134132,.2766501,1.637445,3.771577,.3921238,.8592432
73,,.8436424,1.122077,2.006096,.3401839,1.517331,3.523427,.6186185,.7845122
74,,1.482134,2.015371,2.310374,.2070457,2.545813,4.856187,.7402822,.8134339
75,,.6548086,.8587894,2.288164,.258579,1.170222,3.458386,.4625598,.8329486
76,,1.038203,1.325379,2.579504,.1668801,1.721076,4.30058,.4540568,.8725556
77,,.92269,1.084291,1.945278,.1973557,1.451701,3.396979,.3589564,.7958512
78,,.7534294,.8079926,1.811691,.1534634,1.232575,3.044265,.2080265,.7770079
79,,.6650556,.5864359,1.872397,.1674274,.7525443,2.624941,.0888076,.8235635
