age,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
18,.0258669,.0700649,-.4949459,4.251803,.5650108,-.4937111,3.758092,0,1
19,.6207158,.0947422,-.7529908,1.420474,.8477331,-.6643844,.7560894,.0535393,1
20,.4693674,.1180669,-1.041698,1.818628,1.159764,-1.039811,.7788166,.0015525,1
21,.4302283,-.0175487,-.9001761,1.13292,.8826274,-.8535528,.2793668,.0017521,1
22,.532253,.0928327,-.6923237,1.40636,.7851564,-.6565601,.7497997,.0222577,1
23,.7390089,.1050548,-1.369966,2.299634,1.475021,-1.230501,1.069133,.0640369,1
24,.9084654,.1776521,-1.656269,2.009087,1.833921,-1.257116,.7519712,.1346707,1
25,.7311025,.080241,-1.07789,1.557916,1.158131,-.9655765,.5923397,.0596767,1
26,.8540971,.1762759,-1.234892,1.953857,1.411168,-1.04692,.9069369,.1665064,1
27,.9497576,.1863798,-1.442964,2.33194,1.629344,-1.215899,1.11604,.1035536,1
28,1.040772,.2647626,-1.532288,2.781004,1.797051,-1.210978,1.570025,.2422216,1
29,1.047901,.2647146,-1.387681,2.314999,1.652396,-1.002637,1.312363,.2493113,1
30,1.14291,.2345165,-1.199454,2.339951,1.43397,-.4882091,1.851742,.2941633,1
31,1.294522,.4035442,-1.868988,3.089929,2.272532,-1.34387,1.746059,.38532,1
32,1.246202,.6911101,-1.460061,3.013186,2.151171,-.7177694,2.295417,.6083898,1
33,1.251666,.3733224,-1.396333,2.664996,1.769655,-.6444302,2.020566,.4590726,1
34,1.144129,.2235209,-1.608673,2.762289,1.832194,-1.085395,1.676895,.4650211,1
35,1.171502,.2558616,-1.924104,3.098017,2.179966,-1.182739,1.915277,.4655133,1
36,1.043071,.3672147,-1.371145,2.746263,1.73836,-.8362158,1.910047,.4426594,1
37,1.282055,.3482245,-1.509614,3.086831,1.857839,-.5888392,2.497992,.6892477,1
38,1.305776,.4593936,-1.541921,3.221783,2.001315,-.5426413,2.679142,.7176845,1
39,1.39633,.370244,-1.510872,3.069924,1.881116,-.4821673,2.587756,.8488064,1
40,1.433828,.823346,-1.282633,3.543487,2.105979,-.1518452,3.391642,.9869233,1
41,1.409622,.6747504,-.9845612,3.27359,1.659312,.224567,3.498157,.9360027,1
42,1.394172,.6942765,-.9212527,3.32298,1.615529,.4033323,3.726312,1.044827,1
43,1.23841,.4570849,-1.232351,3.032767,1.689436,-.1898636,2.842904,.8834144,1
44,1.238816,.5291236,-1.100465,2.942014,1.629589,.0693427,3.011357,.9041934,1
45,1.390449,.602927,-1.365664,3.947946,1.968591,-.2411789,3.706767,.8890203,1
46,1.440564,.7159995,-1.148538,3.496816,1.864537,.2786378,3.775454,1.094168,1
47,1.237471,.6862389,-.8777111,3.249581,1.56395,.2651625,3.514744,.9770963,1
48,1.214578,.8331195,-.572602,3.210471,1.405722,.8687197,4.07919,1.11158,1
49,1.268309,.6851165,-.9274349,3.267067,1.612551,.5503178,3.817385,1.266266,1
50,1.317938,.5874483,-1.054691,3.29199,1.642139,.1660497,3.45804,.9132712,1
51,1.280668,.6838654,-.6996793,3.190111,1.383545,.8400289,4.03014,1.269297,1
52,1.359396,.7287138,-.6745684,3.264633,1.403282,.9167975,4.181431,1.287795,1
53,1.310083,.8288152,-.6542978,3.518773,1.483113,1.263245,4.782017,1.672855,1
54,1.217049,.9304503,-.2520181,3.090707,1.182468,1.872235,4.962943,1.855762,1
55,1.122751,.8795519,-.3210573,3.280839,1.200609,1.458144,4.738983,1.544461,1
56,.9833539,.6228568,-.5302504,3.243495,1.153107,.8412625,4.084757,1.144017,1
57,1.093983,.6346174,-.4398959,3.078044,1.074513,1.336675,4.414718,1.539318,1
58,1.009264,1.03034,-.1246345,3.571908,1.154974,1.768885,5.340793,1.504654,1
59,1.057848,1.235303,.219024,3.459217,1.016279,1.849685,5.308902,1.259235,1
60,,.7369668,1.366206,3.071925,.7398733,1.590092,4.662017,1.369112,1
61,,1.307285,1.770108,3.368023,.9048116,2.079962,5.447985,1.367634,1
62,,1.038962,1.619307,3.184875,.7319711,1.875699,5.060574,1.312316,1
63,,.9277162,1.371362,3.024009,.8757005,1.620838,4.644846,1.319346,1
64,,.993557,1.617145,2.402856,.5648139,1.880866,4.283723,1.188402,1
65,,.5929123,1.089633,2.821628,.6441936,1.338543,4.160171,1.140914,1
66,,.9347141,1.156541,3.211853,.5651304,1.37665,4.588503,.7869573,1
67,,1.267243,1.897346,3.032872,.5016961,2.384394,5.417266,1.131799,1
68,,1.104235,1.521984,2.274457,.2597106,1.921455,4.195911,.67746,1
69,,.812618,.9933789,2.747672,.5329236,1.317985,4.065656,.7136846,1
70,,1.229722,1.241891,2.919572,.5116552,1.743282,4.662855,.5238241,1
71,,.9670605,1.469935,2.542074,.2741523,1.749372,4.291446,.7770267,1
72,,1.168511,1.287775,2.483735,.3219694,1.799267,4.283002,.4412335,1
73,,.7893111,1.11765,2.557126,.4336249,1.596991,4.154117,.7619633,1
74,,1.799079,2.458714,2.840273,.2375279,3.100241,5.940514,.8971629,1
75,,.7401698,.9809472,2.747065,.3104381,1.339354,4.086419,.5512155,1
76,,1.173555,1.447116,2.956263,.1912544,1.876997,4.83326,.4648154,1
77,,.9871978,1.163025,2.444273,.2479807,1.480505,3.924778,.4238084,1
78,,.8693289,.9210917,2.331624,.1975055,1.453559,3.785183,.2492684,1
79,,.7541549,.6586921,2.273531,.2032963,.8220549,3.095586,.1078334,1
