age,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
18,.1448723,.0702821,.0702821,0,0,.1629143,.1629143,0,0
19,.1799622,.0457929,.0457929,0,0,.1254145,.1254145,.0031804,0
20,.3018265,.0647918,.0647918,0,0,.0807304,.0807304,.0038986,0
21,.3037349,.0689627,.0685048,0,.0004579,.0820566,.0820566,.0022568,0
22,.4055485,.0268853,.0268853,0,0,.0982322,.0982322,.0253928,0
23,.4525223,.0718315,.0228518,0,.0489797,.1015313,.1015313,.0455416,0
24,.5038511,.1246855,.1239856,0,.0006999,.1773149,.1773149,.0309015,0
25,.5300795,.0934507,.0901032,0,.0033475,.279599,.279599,.0346852,0
26,.5733043,.0321851,.0271785,0,.0050066,.1176107,.1176107,.0553158,0
27,.5417317,.0808021,.0808021,0,0,.1641178,.1641178,.0718709,0
28,.5946379,.0930096,.0930096,0,0,.2029099,.2029099,.0672964,0
29,.612839,.1008859,.0785291,0,.0223569,.295622,.295622,.0851218,0
30,.6679004,.1417122,.1077399,0,.0339723,.2918697,.2918697,.153477,0
31,.667593,.102549,.0924224,0,.0101266,.240925,.240925,.0913325,0
32,.6727229,.1024222,.0979678,0,.0044543,.3377421,.3377421,.1520866,0
33,.7889777,.1167696,.1093078,0,.0074618,.3137265,.3137265,.1223361,0
34,.6148109,.0749346,.0618833,0,.0130513,.1558398,.1558398,.0788063,0
35,.6869113,.258061,.1964732,0,.0615878,.321356,.321356,.0936226,0
36,.6694209,.2646226,.2045696,0,.060053,.6377478,.6377478,.313826,0
37,.7695753,.2274284,.215432,0,.0119964,.4394089,.4394089,.1976714,0
38,.6670774,.0912641,.0173996,0,.0738645,.2172802,.2172802,.1331424,0
39,.5735884,.1231379,.1202506,0,.0028873,.3206673,.3206673,.1053086,0
40,.5755934,.0856238,.0787718,0,.0068519,.2085658,.2085658,.0942045,0
41,.6013672,.4884772,.4693424,0,.0191349,.637037,.637037,.1167533,0
42,.6403462,.2085222,.1836417,0,.0248805,.4705937,.4705937,.2381016,0
43,.5778009,.0778841,.036204,0,.04168,.454998,.454998,.2536445,0
44,.6278479,.2056495,.169509,0,.0361404,.649282,.649282,.2532807,0
45,.7069541,.1013946,.0913678,0,.0100268,.4130917,.4130917,.2487315,0
46,.5301647,.0196103,.0096147,0,.0099956,.3034957,.3034957,.2117308,0
47,.7316304,.1805936,.1170704,0,.0635232,.5413767,.5413767,.3291664,0
48,.7319335,.269423,.2301279,0,.0392952,.552167,.552167,.171009,0
49,.6496231,.1837815,.1377155,0,.0460659,.5526425,.5526425,.2566673,0
50,.5574271,.1699075,.1014162,0,.0684913,.2848468,.2848468,.1210275,0
51,.5042568,.1260217,.0931103,0,.0329115,.5323781,.5323781,.4094627,0
52,.4947155,.2952977,.2952977,0,0,.7716787,.7716787,.4097816,0
53,.6660275,.199286,.1006606,0,.0986254,.7640622,.7640622,.554901,0
54,.5209626,.2237688,.2237688,0,0,.9999753,.9999753,.4286738,0
55,.4751799,.0414309,-.0107899,0,.0522207,.229924,.229924,.1786523,0
56,.4962789,.0042415,-.0353186,0,.0395601,.1553785,.1553785,.1432513,0
57,.5346034,.0313335,.0313335,0,0,.4900514,.4900514,.4382758,0
58,.6038414,.2053129,.1782741,0,.0270388,.3982264,.3982264,.137638,0
59,.4918064,.2672677,.2360129,0,.0312549,.5586997,.5586997,.2561335,0
60,,.1073894,.3688881,0,.0247578,.4354168,.4354168,.2862565,0
61,,.1537163,.3256607,0,.0794424,.3783427,.3783427,.2513868,0
62,,.1215616,.2740006,0,.0888164,.3620082,.3620082,.2412554,0
63,,.1368564,.395713,0,.0364834,.5339178,.5339178,.29534,0
64,,.2494963,.3072468,0,0,.3592405,.3592405,.0577505,0
65,,.0273651,.0397962,0,0,.0799598,.0799598,.0124311,0
66,,.1567146,.5706258,0,.0041382,.6850913,.6850913,.4180494,0
67,,.0344401,.014503,0,.1112417,.0384175,.0384175,.0913047,0
68,,.7372093,.9136334,0,0,1.128677,1.128677,.1764241,0
69,,.1374116,.1533062,0,0,.2489878,.2489878,.0158946,0
70,,.4539166,.7180679,0,0,.925675,.925675,.2641513,0
71,,1.332824,2.243281,0,.00479,2.516497,2.516497,.9152471,0
72,,.2520553,.344391,0,0,.6496089,.6496089,.0923356,0
73,,1.041442,1.138195,0,0,1.227318,1.227318,.0967525,0
74,,.1002476,.0823826,0,.0741424,.1284892,.1284892,.0562774,0
75,,.2291826,.2496887,0,0,.3269001,.3269001,.0205061,0
76,,.1115045,.4919013,0,0,.6535518,.6535518,.3803968,0
77,,.671214,.7773522,0,0,1.339412,1.339412,.1061382,0
78,,.3495817,.4139024,0,0,.4625638,.4625638,.0643207,0
79,,.2491611,.2491611,0,0,.4280856,.4280856,0,0
