ageind,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
0,.2191152,.0572569,-.0451628,.2157803,.1024197,.0374248,.2532051,.0080383,.1252725
1,.4561052,.0824063,-.1454686,.2857541,.2278749,-.0714851,.214269,.0316535,.1561622
2,.7215282,.1302883,-.4983225,.8967757,.6286107,-.3089755,.5878003,.1088685,.400438
3,.9792441,.2644951,-.8000387,1.553951,1.064534,-.3576016,1.19635,.3029844,.5608613
4,1.031295,.2998969,-.9091918,1.891685,1.209089,-.2851179,1.606568,.4661169,.619514
5,1.139176,.5187902,-.7398679,2.330924,1.258658,.1906556,2.52158,.7399492,.7232811
6,1.14133,.5601047,-.6832358,2.521235,1.24334,.3864622,2.907698,.8520027,.7360703
7,1.128293,.6162754,-.4896177,2.509181,1.105893,.886081,3.395262,1.134268,.7682919
8,.9442599,.7073002,-.1961763,2.649509,.9034765,1.202373,3.851882,1.158483,.7983651
9,,.8043687,1.270987,2.346644,.6061602,1.489754,3.836397,1.072779,.7749301
10,,.7937948,1.131262,2.182206,.3889488,1.418501,3.600707,.7264157,.7747438
11,,.9567227,1.183153,2.190589,.2482765,1.563883,3.754472,.4747064,.8317925
