ageind,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
0,.5572641,.09211,-.7254655,1.722488,.8175755,-.6461789,1.076309,.0478283,1
1,.7052301,.1180262,-1.279852,1.829855,1.397878,-1.077831,.752024,.0712802,1
2,.9458647,.2064533,-1.354073,2.239487,1.560526,-1.087404,1.152083,.1777597,1
3,1.21363,.3871268,-1.49972,2.770652,1.886847,-.8467934,1.923858,.4460685,1
4,1.25105,.3658724,-1.559729,3.053499,1.925601,-.6969004,2.356599,.649272,1
5,1.344284,.6347888,-1.096017,3.222708,1.730806,.0832643,3.305973,.9524003,1
6,1.308942,.707743,-.9693366,3.425265,1.67708,.3557584,3.781023,1.068462,1
7,1.301057,.7406923,-.6848989,3.265921,1.425591,.9621504,4.228072,1.3651,1
8,1.051527,.861509,-.2623943,3.318668,1.123903,1.417791,4.736459,1.393367,1
9,,.994677,1.543712,3.0282,.7682755,1.803733,4.831934,1.317311,1
10,,.957897,1.35503,2.81668,.4955265,1.696556,4.513236,.8926591,1
11,,1.052001,1.288829,2.633576,.2967796,1.707876,4.341452,.5336075,1
