ageind,labIncWork,netliquid,netliquid_exhousingdebt,housePos,houseNeg,networth_exhousingvalue,netWorthnc,retAcc,homeownershiprate
0,.1706878,.0522655,.0522655,0,0,.1353258,.1353258,.0023398,0
1,.4100017,.0758144,.0644624,0,.011352,.114751,.114751,.0243201,0
2,.5716974,.0794188,.0732198,0,.006199,.2109245,.2109245,.0628572,0
3,.6798899,.1078717,.0935836,0,.0142881,.267187,.267187,.1202397,0
4,.6734858,.1924743,.1500241,0,.0424502,.3853537,.3853537,.1679006,0
5,.6030689,.2155959,.1910255,0,.0245705,.4713525,.4713525,.1846496,0
6,.6738773,.1483579,.1146675,0,.0336904,.4720918,.4720918,.2483219,0
7,.5554432,.203737,.1578905,0,.0458465,.6338523,.6338523,.3688815,0
8,.5195386,.096717,.0660113,0,.0307057,.3494337,.3494337,.22847,0
9,,.1491254,.3319789,0,.0479871,.408702,.408702,.2308407,0
10,,.229383,.3616363,0,.0223866,.4621648,.4621648,.1546399,0
11,,.4855662,.6605777,0,.0084267,.8518361,.8518361,.1834382,0
