age,income_state,var,variable,value
2,8.0,C,var_l2,0.784534
2,8.0,H_own,var_l2,0.0
2,8.0,H_rent,var_l2,1.336619
2,8.0,Q,var_l2,0.001627
2,8.0,Y,var_l2,8.0
2,9.0,C,var_l2,0.94114
2,9.0,H_own,var_l2,0.0
2,9.0,H_rent,var_l2,1.603163
2,9.0,Q,var_l2,0.011908
2,9.0,Y,var_l2,9.0
2,10.0,C,var_l2,1.124872
2,10.0,H_own,var_l2,0.0
2,10.0,H_rent,var_l2,1.916492
2,10.0,Q,var_l2,0.099876
2,10.0,Y,var_l2,10.0
3,8.0,C,var_l2,0.807103
3,8.0,H_own,var_l2,0.0
3,8.0,H_rent,var_l2,1.375508
3,8.0,Q,var_l2,0.004822
3,8.0,Y,var_l2,8.0
3,9.0,C,var_l2,0.939405
3,9.0,H_own,var_l2,0.0
3,9.0,H_rent,var_l2,1.60018
3,9.0,Q,var_l2,0.003501
3,9.0,Y,var_l2,9.0
3,10.0,C,var_l2,1.125029
3,10.0,H_own,var_l2,0.0
3,10.0,H_rent,var_l2,1.916768
3,10.0,Q,var_l2,0.09867
3,10.0,Y,var_l2,10.0
4,8.0,C,var_l2,0.732088
4,8.0,H_own,var_l2,0.0
4,8.0,H_rent,var_l2,1.248644
4,8.0,Q,var_l2,0.0
4,8.0,Y,var_l2,8.0
4,9.0,C,var_l2,0.938064
4,9.0,H_own,var_l2,0.0
4,9.0,H_rent,var_l2,1.597872
4,9.0,Q,var_l2,0.001156
4,9.0,Y,var_l2,9.0
5,7.0,C,var_l2,0.963657
5,7.0,H_own,var_l2,0.0
5,7.0,H_rent,var_l2,1.641755
5,7.0,Q,var_l2,0.1177135
5,7.0,Y,var_l2,9.0
5,8.0,C,var_l2,0.826461
5,8.0,H_own,var_l2,0.0
5,8.0,H_rent,var_l2,1.407964
5,8.0,Q,var_l2,0.002617
5,8.0,Y,var_l2,8.0
5,9.0,C,var_l2,0.947219
5,9.0,H_own,var_l2,0.0
5,9.0,H_rent,var_l2,1.614331
5,9.0,Q,var_l2,0.18498
5,9.0,Y,var_l2,9.0
5,10.0,C,var_l2,0.946884
5,10.0,H_own,var_l2,0.0
5,10.0,H_rent,var_l2,1.6136755
5,10.0,Q,var_l2,0.1872515
5,10.0,Y,var_l2,9.0
6,7.0,C,var_l2,0.838023
6,7.0,H_own,var_l2,0.0
6,7.0,H_rent,var_l2,1.428393
6,7.0,Q,var_l2,0.021516
6,7.0,Y,var_l2,8.0
6,8.0,C,var_l2,0.838023
6,8.0,H_own,var_l2,0.0
6,8.0,H_rent,var_l2,1.428395
6,8.0,Q,var_l2,0.02302
6,8.0,Y,var_l2,8.0
6,9.0,C,var_l2,0.838023
6,9.0,H_own,var_l2,0.0
6,9.0,H_rent,var_l2,1.428395
6,9.0,Q,var_l2,0.02302
6,9.0,Y,var_l2,8.0
7,7.0,C,var_l2,0.685751
7,7.0,H_own,var_l2,0.0
7,7.0,H_rent,var_l2,1.168731
7,7.0,Q,var_l2,0.001192
7,7.0,Y,var_l2,7.0
7,8.0,C,var_l2,0.850383
7,8.0,H_own,var_l2,0.0
7,8.0,H_rent,var_l2,1.449152
7,8.0,Q,var_l2,0.035101
7,8.0,Y,var_l2,8.0
7,9.0,C,var_l2,0.851972
7,9.0,H_own,var_l2,0.0
7,9.0,H_rent,var_l2,1.451367
7,9.0,Q,var_l2,0.033919
7,9.0,Y,var_l2,8.0
8,7.0,C,var_l2,0.731271
8,7.0,H_own,var_l2,0.0
8,7.0,H_rent,var_l2,1.245714
8,7.0,Q,var_l2,0.027922
8,7.0,Y,var_l2,7.0
8,8.0,C,var_l2,0.8139325
8,8.0,H_own,var_l2,0.0
8,8.0,H_rent,var_l2,1.369652
8,8.0,Q,var_l2,0.055342
8,8.0,Y,var_l2,8.0
8,9.0,C,var_l2,0.995642
8,9.0,H_own,var_l2,0.0
8,9.0,H_rent,var_l2,1.696644
8,9.0,Q,var_l2,0.230576
8,9.0,Y,var_l2,9.0
9,6.0,C,var_l2,0.843802
9,6.0,H_own,var_l2,0.0
9,6.0,H_rent,var_l2,1.4387185
9,6.0,Q,var_l2,0.1878
9,6.0,Y,var_l2,8.0
9,7.0,C,var_l2,0.734885
9,7.0,H_own,var_l2,0.0
9,7.0,H_rent,var_l2,1.251854
9,7.0,Q,var_l2,0.015042
9,7.0,Y,var_l2,7.0
9,8.0,C,var_l2,0.74732
9,8.0,H_own,var_l2,0.0
9,8.0,H_rent,var_l2,1.273361
9,8.0,Q,var_l2,0.055852
9,8.0,Y,var_l2,7.0
10,6.0,C,var_l2,0.7512315
10,6.0,H_own,var_l2,0.0
10,6.0,H_rent,var_l2,1.2801735
10,6.0,Q,var_l2,0.1501345
10,6.0,Y,var_l2,7.0
