age,income_state,var,variable,value
3,8.0,C,var_l2,0.655116
3,8.0,H_own,var_l2,0.0
3,8.0,H_rent,var_l2,1.1167005
3,8.0,Q,var_l2,0.0089785
3,8.0,Y,var_l2,7.0
3,9.0,C,var_l2,0.731999
3,9.0,H_own,var_l2,0.0
3,9.0,H_rent,var_l2,1.248496
3,9.0,Q,var_l2,0.0
3,9.0,Y,var_l2,8.0
3,10.0,C,var_l2,0.938418
3,10.0,H_own,var_l2,0.0
3,10.0,H_rent,var_l2,1.598481
3,10.0,Q,var_l2,0.001181
3,10.0,Y,var_l2,9.0
3,11.0,C,var_l2,0.938064
3,11.0,H_own,var_l2,0.0
3,11.0,H_rent,var_l2,1.597872
3,11.0,Q,var_l2,0.001156
3,11.0,Y,var_l2,9.0
4,8.0,C,var_l2,0.728703
4,8.0,H_own,var_l2,0.0
4,8.0,H_rent,var_l2,1.24187
4,8.0,Q,var_l2,0.010891
4,8.0,Y,var_l2,7.5
4,9.0,C,var_l2,0.730724
4,9.0,H_own,var_l2,0.0
4,9.0,H_rent,var_l2,1.24632
4,9.0,Q,var_l2,0.0
4,9.0,Y,var_l2,8.0
4,10.0,C,var_l2,0.7833585
4,10.0,H_own,var_l2,0.0
4,10.0,H_rent,var_l2,1.3347725
4,10.0,Q,var_l2,0.0005645
4,10.0,Y,var_l2,8.0
5,7.0,C,var_l2,0.963657
5,7.0,H_own,var_l2,0.0
5,7.0,H_rent,var_l2,1.641755
5,7.0,Q,var_l2,0.118813
5,7.0,Y,var_l2,9.0
5,8.0,C,var_l2,0.826461
5,8.0,H_own,var_l2,0.0
5,8.0,H_rent,var_l2,1.407965
5,8.0,Q,var_l2,0.002617
5,8.0,Y,var_l2,8.0
5,9.0,C,var_l2,0.826461
5,9.0,H_own,var_l2,0.0
5,9.0,H_rent,var_l2,1.407964
5,9.0,Q,var_l2,0.002617
5,9.0,Y,var_l2,8.0
5,10.0,C,var_l2,0.826462
5,10.0,H_own,var_l2,0.0
5,10.0,H_rent,var_l2,1.407966
5,10.0,Q,var_l2,0.002617
5,10.0,Y,var_l2,8.0
6,7.0,C,var_l2,0.578806
6,7.0,H_own,var_l2,0.0
6,7.0,H_rent,var_l2,0.9863
6,7.0,Q,var_l2,0.05047
6,7.0,Y,var_l2,6.0
6,8.0,C,var_l2,0.665887
6,8.0,H_own,var_l2,0.0
6,8.0,H_rent,var_l2,1.1342
6,8.0,Q,var_l2,0.001186
6,8.0,Y,var_l2,7.0
6,9.0,C,var_l2,0.8376995
6,9.0,H_own,var_l2,0.0
6,9.0,H_rent,var_l2,1.4277705
6,9.0,Q,var_l2,0.021516
6,9.0,Y,var_l2,8.0
6,10.0,C,var_l2,0.838023
6,10.0,H_own,var_l2,0.0
6,10.0,H_rent,var_l2,1.428395
6,10.0,Q,var_l2,0.0222705
6,10.0,Y,var_l2,8.0
7,8.0,C,var_l2,0.68572
7,8.0,H_own,var_l2,0.0
7,8.0,H_rent,var_l2,1.168677
7,8.0,Q,var_l2,0.001184
7,8.0,Y,var_l2,7.0
7,9.0,C,var_l2,0.813074
7,9.0,H_own,var_l2,0.0
7,9.0,H_rent,var_l2,1.385307
7,9.0,Q,var_l2,0.034775
7,9.0,Y,var_l2,8.0
7,10.0,C,var_l2,0.850513
7,10.0,H_own,var_l2,0.0
7,10.0,H_rent,var_l2,1.449338
7,10.0,Q,var_l2,0.057611
7,10.0,Y,var_l2,8.0
8,7.0,C,var_l2,0.70727
8,7.0,H_own,var_l2,0.0
8,7.0,H_rent,var_l2,1.205097
8,7.0,Q,var_l2,0.012148
8,7.0,Y,var_l2,7.0
8,8.0,C,var_l2,0.704577
8,8.0,H_own,var_l2,0.0
8,8.0,H_rent,var_l2,1.200532
8,8.0,Q,var_l2,0.001188
8,8.0,Y,var_l2,7.0
8,9.0,C,var_l2,0.714348
8,9.0,H_own,var_l2,0.0
8,9.0,H_rent,var_l2,1.2170955
8,9.0,Q,var_l2,0.00774
8,9.0,Y,var_l2,7.0
8,10.0,C,var_l2,0.6350555
8,10.0,H_own,var_l2,0.0
8,10.0,H_rent,var_l2,1.081124
8,10.0,Q,var_l2,0.0078895
8,10.0,Y,var_l2,6.5
9,7.0,C,var_l2,0.723338
9,7.0,H_own,var_l2,0.0
9,7.0,H_rent,var_l2,1.231985
9,7.0,Q,var_l2,0.00962
9,7.0,Y,var_l2,7.0
9,8.0,C,var_l2,0.722271
9,8.0,H_own,var_l2,0.0
9,8.0,H_rent,var_l2,1.23015
9,8.0,Q,var_l2,0.001187
9,8.0,Y,var_l2,7.0
9,9.0,C,var_l2,0.723338
9,9.0,H_own,var_l2,0.0
9,9.0,H_rent,var_l2,1.231985
9,9.0,Q,var_l2,0.002333
9,9.0,Y,var_l2,7.0
9,10.0,C,var_l2,0.722297
9,10.0,H_own,var_l2,0.0
9,10.0,H_rent,var_l2,1.230194
9,10.0,Q,var_l2,0.001188
9,10.0,Y,var_l2,7.0
10,7.0,C,var_l2,0.586195
10,7.0,H_own,var_l2,0.0
10,7.0,H_rent,var_l2,0.862712
10,7.0,Q,var_l2,0.001186
10,7.0,Y,var_l2,6.0
10,8.0,C,var_l2,0.738707
10,8.0,H_own,var_l2,0.0
10,8.0,H_rent,var_l2,1.258749
