wealth_state,income_state,var,variable,value
0.0,6.0,C,var_l2,0.629971
0.0,6.0,H_own,var_l2,0.0
0.0,6.0,H_rent,var_l2,1.073723
0.0,6.0,Q,var_l2,0.001188
0.0,6.0,Y,var_l2,6.0
0.0,7.0,C,var_l2,0.738707
0.0,7.0,H_own,var_l2,0.0
0.0,7.0,H_rent,var_l2,1.258749
0.0,7.0,Q,var_l2,0.001189
0.0,7.0,Y,var_l2,7.0
0.0,8.0,C,var_l2,0.738379
0.0,8.0,H_own,var_l2,0.0
0.0,8.0,H_rent,var_l2,1.259117
0.0,8.0,Q,var_l2,1e-06
0.0,8.0,Y,var_l2,8.0
0.0,9.0,C,var_l2,0.939235
0.0,9.0,H_own,var_l2,0.0
0.0,9.0,H_rent,var_l2,1.599887
0.0,9.0,Q,var_l2,0.001873
0.0,9.0,Y,var_l2,9.0
0.01,6.0,C,var_l2,0.617015
0.01,6.0,H_own,var_l2,0.0
0.01,6.0,H_rent,var_l2,1.05143
0.01,6.0,Q,var_l2,0.001187
0.01,6.0,Y,var_l2,6.0
0.01,7.0,C,var_l2,0.653705
0.01,7.0,H_own,var_l2,0.0
0.01,7.0,H_rent,var_l2,1.113908
0.01,7.0,Q,var_l2,0.0012
0.01,7.0,Y,var_l2,6.0
0.01,8.0,C,var_l2,0.848288
0.01,8.0,H_own,var_l2,0.0
0.01,8.0,H_rent,var_l2,1.445988
0.01,8.0,Q,var_l2,0.194319
0.01,8.0,Y,var_l2,8.0
0.01,9.0,C,var_l2,0.942018
0.01,9.0,H_own,var_l2,0.0
0.01,9.0,H_rent,var_l2,1.604674
0.01,9.0,Q,var_l2,0.012946
0.01,9.0,Y,var_l2,9.0
0.01,10.0,C,var_l2,0.944811
0.01,10.0,H_own,var_l2,0.0
0.01,10.0,H_rent,var_l2,1.610122
0.01,10.0,Q,var_l2,0.19648
0.01,10.0,Y,var_l2,9.0
0.02,6.0,C,var_l2,0.659091
0.02,6.0,H_own,var_l2,0.0
0.02,6.0,H_rent,var_l2,1.122835
0.02,6.0,Q,var_l2,0.0385205
0.02,6.0,Y,var_l2,6.0
0.02,7.0,C,var_l2,0.650657
0.02,7.0,H_own,var_l2,0.0
0.02,7.0,H_rent,var_l2,1.1089
0.02,7.0,Q,var_l2,0.0012135
0.02,7.0,Y,var_l2,6.0
0.02,8.0,C,var_l2,0.826461
0.02,8.0,H_own,var_l2,0.0
0.02,8.0,H_rent,var_l2,1.407964
0.02,8.0,Q,var_l2,0.002617
0.02,8.0,Y,var_l2,8.0
0.02,9.0,C,var_l2,0.944569
0.02,9.0,H_own,var_l2,0.0
0.02,9.0,H_rent,var_l2,1.609058
0.02,9.0,Q,var_l2,0.02318
0.02,9.0,Y,var_l2,9.0
0.03,6.0,C,var_l2,0.484838
0.03,6.0,H_own,var_l2,0.0
0.03,6.0,H_rent,var_l2,0.71678
0.03,6.0,Q,var_l2,0.001156
0.03,6.0,Y,var_l2,5.0
0.03,7.0,C,var_l2,0.790016
0.03,7.0,H_own,var_l2,0.0
0.03,7.0,H_rent,var_l2,1.346011
0.03,7.0,Q,var_l2,0.014604
0.03,7.0,Y,var_l2,7.0
0.03,8.0,C,var_l2,0.665887
0.03,8.0,H_own,var_l2,0.0
0.03,8.0,H_rent,var_l2,1.1342
0.03,8.0,Q,var_l2,0.001186
0.03,8.0,Y,var_l2,7.0
0.03,9.0,C,var_l2,0.946969
0.03,9.0,H_own,var_l2,0.0
0.03,9.0,H_rent,var_l2,1.613184
0.03,9.0,Q,var_l2,0.036937
0.03,9.0,Y,var_l2,9.0
0.04,6.0,C,var_l2,0.482598
0.04,6.0,H_own,var_l2,0.0
0.04,6.0,H_rent,var_l2,0.710929
0.04,6.0,Q,var_l2,0.001187
0.04,6.0,Y,var_l2,5.0
0.04,7.0,C,var_l2,0.797166
0.04,7.0,H_own,var_l2,0.0
0.04,7.0,H_rent,var_l2,1.357839
0.04,7.0,Q,var_l2,0.025158
0.04,7.0,Y,var_l2,7.0
0.04,8.0,C,var_l2,0.904913
0.04,8.0,H_own,var_l2,0.0
0.04,8.0,H_rent,var_l2,1.542156
0.04,8.0,Q,var_l2,0.189025
0.04,8.0,Y,var_l2,8.0
0.04,9.0,C,var_l2,0.947371
0.04,9.0,H_own,var_l2,0.0
0.04,9.0,H_rent,var_l2,1.613901
0.04,9.0,Q,var_l2,0.047048
0.04,9.0,Y,var_l2,9.0
0.05,6.0,C,var_l2,0.597133
0.05,6.0,H_own,var_l2,0.0
0.05,6.0,H_rent,var_l2,1.018594
0.05,6.0,Q,var_l2,0.019129
0.05,6.0,Y,var_l2,6.0
0.05,7.0,C,var_l2,0.803964
0.05,7.0,H_own,var_l2,0.0
0.05,7.0,H_rent,var_l2,1.370438
0.05,7.0,Q,var_l2,0.031725
0.05,7.0,Y,var_l2,7.0
0.05,8.0,C,var_l2,0.838023
0.05,8.0,H_own,var_l2,0.0
0.05,8.0,H_rent,var_l2,1.428395
0.05,8.0,Q,var_l2,0.02302
0.05,8.0,Y,var_l2,8.0
0.05,9.0,C,var_l2,0.946432
0.05,9.0,H_own,var_l2,0.0
0.05,9.0,H_rent,var_l2,1.61231
0.05,9.0,Q,var_l2,0.055531
0.05,9.0,Y,var_l2,9.0
0.06,6.0,C,var_l2,0.776324
0.06,6.0,H_own,var_l2,0.0
0.06,6.0,H_rent,var_l2,1.323017
0.06,6.0,Q,var_l2,0.111135
0.06,6.0,Y,var_l2,7.0
0.06,7.0,C,var_l2,0.798242
0.06,7.0,H_own,var_l2,0.0
0.06,7.0,H_rent,var_l2,1.360505
0.06,7.0,Q,var_l2,0.045667
0.06,7.0,Y,var_l2,7.0
0.06,8.0,C,var_l2,0.837974
0.06,8.0,H_own,var_l2,0.0
0.06,8.0,H_rent,var_l2,1.42825
0.06,8.0,Q,var_l2,0.026758
0.06,8.0,Y,var_l2,8.0
0.06,9.0,C,var_l2,0.945128
0.06,9.0,H_own,var_l2,0.0
0.06,9.0,H_rent,var_l2,1.610102
0.06,9.0,Q,var_l2,0.067303
0.06,9.0,Y,var_l2,9.0
0.07,6.0,C,var_l2,0.712562
0.07,6.0,H_own,var_l2,0.0
0.07,6.0,H_rent,var_l2,1.2146905
0.07,6.0,Q,var_l2,0.119807
0.07,6.0,Y,var_l2,6.5
0.07,7.0,C,var_l2,0.796929
0.07,7.0,H_own,var_l2,0.0
0.07,7.0,H_rent,var_l2,1.358287
0.07,7.0,Q,var_l2,0.046108
0.07,7.0,Y,var_l2,7.0
0.07,8.0,C,var_l2,0.704577
0.07,8.0,H_own,var_l2,0.0
0.07,8.0,H_rent,var_l2,1.200533
0.07,8.0,Q,var_l2,0.001188
0.07,8.0,Y,var_l2,7.0
0.07,9.0,C,var_l2,0.943899
0.07,9.0,H_own,var_l2,0.0
0.07,9.0,H_rent,var_l2,1.608019
0.07,9.0,Q,var_l2,0.078404
0.07,9.0,Y,var_l2,9.0
0.07,10.0,C,var_l2,1.119058
0.07,10.0,H_own,var_l2,0.0
0.07,10.0,H_rent,var_l2,1.907021
0.07,10.0,Q,var_l2,0.078434
0.07,10.0,Y,var_l2,10.0
0.08,6.0,C,var_l2,0.73796
0.08,6.0,H_own,var_l2,0.0
0.08,6.0,H_rent,var_l2,1.257514
0.08,6.0,Q,var_l2,0.106898
0.08,6.0,Y,var_l2,7.0
0.08,7.0,C,var_l2,0.811313
0.08,7.0,H_own,var_l2,0.0
0.08,7.0,H_rent,var_l2,1.382364
0.08,7.0,Q,var_l2,0.0547935
0.08,7.0,Y,var_l2,7.0
0.08,8.0,C,var_l2,0.722271
0.08,8.0,H_own,var_l2,0.0
0.08,8.0,H_rent,var_l2,1.23015
0.08,8.0,Q,var_l2,0.001188
0.08,8.0,Y,var_l2,7.0
0.08,9.0,C,var_l2,0.942681
0.08,9.0,H_own,var_l2,0.0
0.08,9.0,H_rent,var_l2,1.605955
0.08,9.0,Q,var_l2,0.089405
0.08,9.0,Y,var_l2,9.0
0.08,10.0,C,var_l2,1.119808
0.08,10.0,H_own,var_l2,0.0
0.08,10.0,H_rent,var_l2,1.908243
0.08,10.0,Q,var_l2,0.080763
0.08,10.0,Y,var_l2,10.0
0.09,6.0,C,var_l2,0.59156
0.09,6.0,H_own,var_l2,0.0
0.09,6.0,H_rent,var_l2,1.0077805
0.09,6.0,Q,var_l2,0.0459505
0.09,6.0,Y,var_l2,6.0
0.09,7.0,C,var_l2,0.801783
0.09,7.0,H_own,var_l2,0.0
0.09,7.0,H_rent,var_l2,1.366891
0.09,7.0,Q,var_l2,0.053315
0.09,7.0,Y,var_l2,7.0
0.09,8.0,C,var_l2,0.852267
0.09,8.0,H_own,var_l2,0.0
0.09,8.0,H_rent,var_l2,1.451854
0.09,8.0,Q,var_l2,0.034797
0.09,8.0,Y,var_l2,8.0
0.09,9.0,C,var_l2,0.781826
0.09,9.0,H_own,var_l2,0.0
0.09,9.0,H_rent,var_l2,1.331682
0.09,9.0,Q,var_l2,0.131212
0.09,9.0,Y,var_l2,7.0
0.09,10.0,C,var_l2,1.124539
0.09,10.0,H_own,var_l2,0.0
0.09,10.0,H_rent,var_l2,1.915945
0.09,10.0,Q,var_l2,0.095441
0.09,10.0,Y,var_l2,10.0
0.1,6.0,C,var_l2,0.840973
0.1,6.0,H_own,var_l2,0.0
0.1,6.0,H_rent,var_l2,1.433908
0.1,6.0,Q,var_l2,0.195721
0.1,6.0,Y,var_l2,8.0
0.1,7.0,C,var_l2,0.811682
0.1,7.0,H_own,var_l2,0.0
0.1,7.0,H_rent,var_l2,1.382734
0.1,7.0,Q,var_l2,0.0809725
0.1,7.0,Y,var_l2,7.0
0.1,8.0,C,var_l2,0.738733
0.1,8.0,H_own,var_l2,0.0
0.1,8.0,H_rent,var_l2,1.258793
0.1,8.0,Q,var_l2,0.001186
0.1,8.0,Y,var_l2,7.0
0.1,9.0,C,var_l2,0.94078
0.1,9.0,H_own,var_l2,0.0
0.1,9.0,H_rent,var_l2,1.602838
0.1,9.0,Q,var_l2,0.100903
0.1,9.0,Y,var_l2,9.0
0.1,10.0,C,var_l2,1.126052
0.1,10.0,H_own,var_l2,0.0
0.1,10.0,H_rent,var_l2,1.918557
0.1,10.0,Q,var_l2,0.104822
0.1,10.0,Y,var_l2,10.0
0.11,6.0,C,var_l2,0.848257
0.11,6.0,H_own,var_l2,0.0
0.11,6.0,H_rent,var_l2,1.44594
0.11,6.0,Q,var_l2,0.192104
0.11,6.0,Y,var_l2,8.0
0.11,8.0,C,var_l2,0.7540025
0.11,8.0,H_own,var_l2,0.0
0.11,8.0,H_rent,var_l2,1.284603
0.11,8.0,Q,var_l2,0.001193
0.11,8.0,Y,var_l2,7.0
0.11,9.0,C,var_l2,0.935534
0.11,9.0,H_own,var_l2,0.0
0.11,9.0,H_rent,var_l2,1.593512
0.11,9.0,Q,var_l2,0.001101
0.11,9.0,Y,var_l2,9.0
0.11,10.0,C,var_l2,1.127558
0.11,10.0,H_own,var_l2,0.0
0.11,10.0,H_rent,var_l2,1.921193
0.11,10.0,Q,var_l2,0.115257
0.11,10.0,Y,var_l2,10.0
0.12,6.0,C,var_l2,0.605869
