wealth_state,income_state,var,variable,value
0.0,6.0,C,var_l2,0.486108
0.0,6.0,H_own,var_l2,0.0
0.0,6.0,H_rent,var_l2,0.716905
0.0,6.0,Q,var_l2,0.004749
0.0,6.0,Y,var_l2,5.0
0.0,7.0,C,var_l2,0.6395505
0.0,7.0,H_own,var_l2,0.0
0.0,7.0,H_rent,var_l2,1.0903985
0.0,7.0,Q,var_l2,0.001189
0.0,7.0,Y,var_l2,6.0
0.0,8.0,C,var_l2,0.665887
0.0,8.0,H_own,var_l2,0.0
0.0,8.0,H_rent,var_l2,1.1342
0.0,8.0,Q,var_l2,0.001186
0.0,8.0,Y,var_l2,7.0
0.0,9.0,C,var_l2,0.730724
0.0,9.0,H_own,var_l2,0.0
0.0,9.0,H_rent,var_l2,1.24632
0.0,9.0,Q,var_l2,1e-06
0.0,9.0,Y,var_l2,8.0
0.0,10.0,C,var_l2,0.9288375
0.0,10.0,H_own,var_l2,0.0
0.0,10.0,H_rent,var_l2,1.5819785
0.0,10.0,Q,var_l2,0.000982
0.0,10.0,Y,var_l2,9.0
0.0,11.0,C,var_l2,0.938064
0.0,11.0,H_own,var_l2,0.0
0.0,11.0,H_rent,var_l2,1.597872
0.0,11.0,Q,var_l2,0.001156
0.0,11.0,Y,var_l2,9.0
0.01,6.0,C,var_l2,0.5795115
0.01,6.0,H_own,var_l2,0.0
0.01,6.0,H_rent,var_l2,0.9872255
0.01,6.0,Q,var_l2,0.0527835
0.01,6.0,Y,var_l2,6.0
0.01,7.0,C,var_l2,0.796256
0.01,7.0,H_own,var_l2,0.0
0.01,7.0,H_rent,var_l2,1.356483
0.01,7.0,Q,var_l2,0.04598
0.01,7.0,Y,var_l2,7.0
0.01,8.0,C,var_l2,0.653021
0.01,8.0,H_own,var_l2,0.0
0.01,8.0,H_rent,var_l2,1.1141805
0.01,8.0,Q,var_l2,0.001189
0.01,8.0,Y,var_l2,6.0
0.01,9.0,C,var_l2,0.7462765
0.01,9.0,H_own,var_l2,0.0
0.01,9.0,H_rent,var_l2,1.2717235
0.01,9.0,Q,var_l2,0.0065745
0.01,9.0,Y,var_l2,7.0
0.01,10.0,C,var_l2,0.942648
0.01,10.0,H_own,var_l2,0.0
0.01,10.0,H_rent,var_l2,1.605756
0.01,10.0,Q,var_l2,0.015472
0.01,10.0,Y,var_l2,9.0
0.02,7.0,C,var_l2,0.796195
0.02,7.0,H_own,var_l2,0.0
0.02,7.0,H_rent,var_l2,1.356896
0.02,7.0,Q,var_l2,0.058644
0.02,7.0,Y,var_l2,7.0
0.02,8.0,C,var_l2,0.651577
0.02,8.0,H_own,var_l2,0.0
0.02,8.0,H_rent,var_l2,1.110314
